OBJECTID,COUNTY,CNTYCODE,LAND,ISLAND,TAG,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
4298,Lincoln,15,y,y,n,{522E402F-12AB-4ABB-8283-6BD40CB57121},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,135.15767972,67.9805382702744
4299,Lincoln,15,y,y,n,{D8332CBE-D25F-46FC-A7EA-BC6E70E3AFFC},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,74.10960782,32.6301646630103
4300,Lincoln,15,y,y,n,{77F4DD29-DF89-43E0-9329-A43B0CA2A0F2},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,6774.706054685,314.806669935753
4301,Lincoln,15,y,y,n,{A4AB5CE9-56CA-42C2-B3C5-B0687FFE09B5},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,605763.054949985,3808.31234549148
4302,Lincoln,15,y,y,n,{F1D2070C-0E8D-400D-927A-384A6F99B84C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,31.31322683,21.7097751820248
4303,Lincoln,15,y,y,n,{787DFDB7-2440-48A4-B488-B27C668F1FFE},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2063.04432653,255.805942038308
4304,Lincoln,15,y,y,n,{CBB4AA33-9FED-4060-B2A2-53B705F92566},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2334.36638289,245.796796197549
4305,Lincoln,15,y,y,n,{25C646FC-6867-468F-B4E0-B3A448E75E02},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,444.2809641,87.7314289842525
4306,Lincoln,15,y,y,n,{B0DA5149-85FC-4A85-A170-CD02F1BF5E9F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,192.35762814,53.7701903935663
4307,Lincoln,15,y,y,n,{9FA6F4F9-A6B9-4675-95E4-4A9F3D613136},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1162.215246865,178.477269808085
4308,Lincoln,15,y,y,n,{F7B1B9A8-DE3E-4B68-9740-AB41FA9A8502},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2554.835920305,254.073229125658
4309,Lincoln,15,y,y,n,{36C35B6E-AA97-4726-A327-EFE2333088BB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,4890.42333583,356.790204109608
4310,Lincoln,15,y,y,n,{79CEBAF3-C637-442E-9B4E-0394148497CC},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2548.266767125,193.675945286152
4311,Lincoln,15,y,y,n,{E19CC37C-97F5-4F2C-AF0F-7E1475723951},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,24561.733351535,722.246947669556
4312,Lincoln,15,y,y,n,{F3E74B15-7D66-4ACF-9795-EB630ACCCEBA},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,10991.593934425,411.476581315682
4313,Lincoln,15,y,y,n,{0272248F-7721-4BED-BF60-570605070942},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1719.17214059,151.941175469408
4314,Lincoln,15,y,y,n,{05CDEC2B-9D0B-4B77-96A5-2335DC35C398},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,46.26619062,25.5211637296657
4315,Lincoln,15,y,y,n,{B1BC481F-F4BC-483C-9A03-0A904296897D},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,69.97008126,33.4973544083712
4316,Lincoln,15,y,y,n,{054DBFDA-2AE8-4D0A-8C4A-A6C205D77ADC},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,172.88164922,54.0985490084407
4317,Lincoln,15,y,y,n,{F2E7699A-D773-4505-8BDD-C0A8A359B353},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,73920.41809681,1332.42024838598
4318,Lincoln,15,y,y,n,{6E9DB4BC-303E-4CB8-B525-0181D125DC9D},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,42.672612455,25.1920919754975
4319,Lincoln,15,y,y,n,{F47692E2-64D6-463A-8E8B-7A812A06C48A},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2722.2866906,198.643864958932
4320,Lincoln,15,y,y,n,{C26C0B1E-7013-4486-8BF6-FC7F25915CAA},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1550.22491563,199.178111290878
4321,Lincoln,15,y,y,n,{605E219C-766A-403A-BC22-3A81EE76FB5C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,194.297815615,53.2829444101766
4322,Lincoln,15,y,y,n,{8A9834E5-A2F3-4967-9984-17C2FE40B752},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,3740.497298435,294.109719544222
4323,Lincoln,15,y,y,n,{43EF94E8-1D66-437A-BE88-25448478EF39},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,476.74820625,90.8772936293511
4324,Lincoln,15,y,y,n,{9AB1EC44-5035-4F50-A670-EB99BBB945B4},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,769.513643685,101.3007121876
4325,Lincoln,15,y,y,n,{687B4C79-36AA-4506-97C9-3EA083DB062C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,56.218023425,29.7238141301658
4326,Lincoln,15,y,y,n,{892BF4DC-8BBC-4CD4-A368-21D82BE8E076},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,315.92354847,70.4614921886735
4327,Lincoln,15,y,y,n,{2876A97C-9FEF-4F99-BF61-85789FBAD6CA},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1146.48825463,175.594154245881
4328,Lincoln,15,y,y,n,{FADFF9F0-895A-4561-B88D-48FB5D27D105},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,957.32775779,159.229392663264
4329,Lincoln,15,y,y,n,{0C9AEF78-9FE0-45C4-967D-3D4D16A18D3F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,258.450653125,62.5410390612179
4330,Lincoln,15,y,y,n,{C6C95C55-91F4-4D82-89D0-DDB7DA9CE1FC},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,456.63243123,89.1077768531722
4331,Lincoln,15,y,y,n,{533AB133-7E08-4C37-A17D-3599A3CED05B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,279.391303135,70.197398467166
4332,Lincoln,15,y,y,n,{722562F3-DFFA-4F6B-96B4-6F73BE8AF959},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,151.373665605,46.2492305253442
4333,Lincoln,15,y,y,n,{F6976E4D-9AC4-4473-88CB-C2254981B654},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,333.864573445,82.3540358681121
4334,Lincoln,15,y,y,n,{1E5B48C1-8D96-4753-A318-24D7DE769AB1},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1326.621960905,150.741803002976
4335,Lincoln,15,y,y,n,{63065EDF-0355-4C7A-AD50-DF7283E85FEB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,4731.805869025,411.272115268075
4336,Lincoln,15,y,y,n,{EAB5A9AD-93DE-47D8-A083-A43FA77FCAA6},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,172.053020315,49.5664992456755
4337,Lincoln,15,y,y,n,{8514D694-90DE-4076-BEB8-39B65FCF9D96},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,8824.913332815,427.408549751852
4338,Lincoln,15,y,y,n,{4D0E8C32-82B7-449C-A6D6-A4C32D0AF0A0},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2248.882851545,281.986407483462
4339,Penobscot,19,n,n,n,{C17A7E69-3C8C-419B-8098-368710760B7F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,6530336.78751326,56904.0471106379
4340,Penobscot,19,y,y,n,{02155CAF-0013-4074-9A2F-7F2259A87792},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,757.124195345,147.666497917986
4341,Penobscot,19,y,y,n,{F870A0F4-8584-4DA8-AEF8-2BB57F21EF6F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1283.026703095,174.877265222908
4342,Penobscot,19,y,y,n,{1E761612-5EC7-4FF8-A9CC-39F76303BB62},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,407.39278594,74.0606608142003
4343,Penobscot,19,y,y,n,{794FD3F3-52C7-41EF-BF1A-68CDBC673605},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1278834.50230924,5005.66949856963
4344,Penobscot,19,y,y,n,{7AB6819B-C96B-4F72-8F4D-C31C86E29250},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,5994818.7375531,11676.5770258306
4345,Piscataquis,21,y,y,n,{7FA8113D-1090-4CBF-BFDB-979682CF9ED3},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,553.991732835,88.6926016735298
4346,Piscataquis,21,y,y,n,{DFB19BA2-4FAD-431F-93B7-5650F38C6DF0},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2998.17727342,317.342807122301
4347,Piscataquis,21,y,y,n,{A7153F8C-9BF8-46E9-A361-ED1978936E8B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,80.30439533,34.0355764907973
4348,Piscataquis,21,y,y,n,{CAB19215-85CB-4A6C-BC58-82D0C0C55821},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,10418.94667663,648.270306499501
4349,Piscataquis,21,y,y,n,{58432697-BDD0-4ADB-A8DB-74638FECA4D7},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2626.884407785,198.306195720897
4350,Piscataquis,21,y,y,n,{C5482C0D-14D9-4998-A1F6-64AD4126E69F},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1009.89543438,122.937691104884
4351,Piscataquis,21,y,y,n,{44F9E5F1-6714-4418-B97E-02FB1B33DF4E},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,1449.28031249,142.412821379611
4352,Piscataquis,21,y,y,n,{7030A5A3-31A4-4727-B266-164F7F91EDC5},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,335.897234385,69.8779946513433
4353,Piscataquis,21,y,y,n,{481A9B75-6E7F-4592-B404-B333E1D2A466},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,2929.58912185,218.869862949569
4354,Piscataquis,21,y,y,n,{4D095CE6-A223-4941-A909-D7833E2DA476},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,48.9746375,27.0818981021906
